campus_id,district_id,nces_school_id,school_name,district_name
057802001,057802,480002907561,PEGASUS CHARTER H S,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES
057803004,057803,480003012012,UPLIFT WILLIAMS PREP H S,UPLIFT EDUCATION
057803005,057803,480003013197,UPLIFT LUNA PREP H S,UPLIFT EDUCATION
057803015,057803,480003013474,WISDOM PREP MIDDLE,UPLIFT EDUCATION
057803019,057803,480003014097,UPLIFT WISDOM PREP H S,UPLIFT EDUCATION
057803104,057803,480003012647,UPLIFT HEIGHTS PREP PS,UPLIFT EDUCATION
057803111,057803,480003012185,UPLIFT HAMPTON PREP PS,UPLIFT EDUCATION
057807001,057807,480005507849,LIFE SCHOOL OAK CLIFF,LIFE SCHOOL
057831001,057831,480018408507,GATEWAY CHARTER ACADEMY,GATEWAY CHARTER ACADEMY
057905005,057905,481623007565,MOISES E MOLINA H S,DALLAS ISD
057905007,057905,481623001289,THOMAS JEFFERSON H S,DALLAS ISD
057905016,057905,481623001358,SOUTH OAK CLIFF H S,DALLAS ISD
057905036,057905,481623001273,SCHOOL OF HEALTH PROFESSIONS,DALLAS ISD
057905046,057905,481623001257,YOUNG MEN'S LEADERSHIP ACADEMY AT FRED F FLORENCE,DALLAS ISD
057905050,057905,481623001276,ROBERT T HILL MIDDLE,DALLAS ISD
057905055,057905,481623001347,THOMAS J RUSK MIDDLE,DALLAS ISD
057905068,057905,481623007566,RAUL QUINTANILLA SR MIDDLE STEAM ACADEMY,DALLAS ISD
057905076,057905,481623010562,HAROLD WENDELL LANG SR MIDDLE,DALLAS ISD
057905077,057905,481623010563,HECTOR P GARCIA MIDDLE,DALLAS ISD
057905085,057905,481623012028,KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,DALLAS ISD
057905107,057905,481623012062,JOSE 'JOE' MAY EL,DALLAS ISD
057905110,057905,481623001214,ANNIE WEBB BLANTON EL,DALLAS ISD
057905115,057905,481623001221,HARRELL BUDD EL,DALLAS ISD
057905116,057905,481623001223,DAVID G BURNET EL,DALLAS ISD
057905118,057905,481623001224,ALBERT C BLACK JR STEAM ACADEMY,DALLAS ISD
057905119,057905,481623001385,CHAPEL HILL PREPARATORY-A PERSONALIZED LRNING SCH,DALLAS ISD
057905129,057905,481623001240,S S CONNER EL,DALLAS ISD
057905136,057905,481623001249,L O DONALD EL,DALLAS ISD
057905137,057905,481623001250,JULIUS DORSEY LEADERSHIP ACADEMY,DALLAS ISD
057905139,057905,481623001325,PAUL L DUNBAR LEARNING CENTER,DALLAS ISD
057905169,057905,481623006681,ARTHUR KRAMER EL,DALLAS ISD
057905174,057905,481623001302,GENEVA HEIGHTS EL,DALLAS ISD
057905175,057905,481623001303,UMPHREY LEE EL,DALLAS ISD
057905186,057905,481623001341,TRINITY HEIGHTS GIFTED AND TALENTED SCHOOL,DALLAS ISD
057905187,057905,481623001320,NANCY MOSELEY EL,DALLAS ISD
057905199,057905,481623001337,REINHARDT EL,DALLAS ISD
057905213,057905,481623001368,T G TERRY EL,DALLAS ISD
057905224,057905,481623001380,WALNUT HILL INTERNATIONAL LEADERSHIP ACADEMY,DALLAS ISD
057905232,057905,481623001345,BUCKNER TERRACE MONTESSORI,DALLAS ISD
057905235,057905,481623001207,BIRDIE ALEXANDER EL,DALLAS ISD
057905239,057905,481623010571,ARTURO SALAZAR EL,DALLAS ISD
057905250,057905,481623001390,WHITNEY M YOUNG JR EL,DALLAS ISD
057905270,057905,481623007569,EDUARDO MATA MONTESSORI SCHOOL,DALLAS ISD
057905276,057905,481623007253,GILBERT CUELLAR SR EL,DALLAS ISD
057905322,057905,481623014091,PRESTONWOOD MONTESSORI AT E D WALKER,DALLAS ISD
057905361,057905,481623013873,DOWNTOWN MONTESSORI AT IDA B WELLS ACADEMY,DALLAS ISD
057905371,057905,481623022813,BIOMEDICAL PREPARATORY AT UT SOUTHWESTERN,DALLAS ISD
057905380,057905,481623012551,WILMER-HUTCHINS H S,DALLAS ISD
057905385,057905,481623013714,MONTESSORI ACADEMY AT ONESIMO HERNANDEZ EL,DALLAS ISD
057907111,057907,481764009197,CJ & ANNE HYMAN EL,DUNCANVILLE ISD
057907112,057907,481764009501,JAMES R BILHARTZ JR EL,DUNCANVILLE ISD
057911001,057911,482325002357,HIGHLAND PARK H S,HIGHLAND PARK ISD
057916110,057916,483702004145,NORTHWOOD HILLS EL,RICHARDSON ISD
057916122,057916,483702004126,BOWIE EL,RICHARDSON ISD
057916128,057916,483702004127,BRENTFIELD EL,RICHARDSON ISD
057916134,057916,483702005584,MERRIMAN PARK EL,RICHARDSON ISD
057922043,057922,481521006936,COPPELL MIDDLE WEST,COPPELL ISD
070801002,070801,480010513356,OAK CLIFF FAITH FAMILY ACADEMY,FAITH FAMILY ACADEMY
108807209,108807,480021123204,IDEA A W BROWN COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS
161807005,161807,480029212871,HARMONY SCHOOL OF INNOVATION - DALLAS,HARMONY PUBLIC SCHOOLS - NORTH TEXAS
