campus_id,district_id,nces_school_id,school_name,district_name,district_type,instruction_type,charter_type,school_level,operator_type,grade_range,enrollment,school_status,school_site_city,school_site_address,school_site_zip,magnet_status,enrollment_source_year
057802001,057802,480002907561,PEGASUS CHARTER H S,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,CHARTER,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,mixed,charter,KG-12,277.0,Active,DALLAS,1222 COMMERCE ST STE 100,75202,N,2025
057803004,057803,480003012012,UPLIFT WILLIAMS PREP H S,UPLIFT EDUCATION,CHARTER,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,high,charter,09-12,528.0,Active,DALLAS,1750 VICEROY DR,75235,N,2025
057803005,057803,480003013197,UPLIFT LUNA PREP H S,UPLIFT EDUCATION,CHARTER,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,high,charter,09-12,501.0,Active,DALLAS,9743 E RL THORNTON FWY,75228,N,2025
057803015,057803,480003013474,WISDOM PREP MIDDLE,UPLIFT EDUCATION,CHARTER,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,middle,charter,06-08,517.0,Active,DALLAS,301 W CAMP WISDOM RD,75232,N,2025
057803019,057803,480003014097,UPLIFT WISDOM PREP H S,UPLIFT EDUCATION,CHARTER,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,high,charter,09-12,317.0,Active,DALLAS,301 W CAMP WISDOM RD,75232,N,2025
057803104,057803,480003012647,UPLIFT HEIGHTS PREP PS,UPLIFT EDUCATION,CHARTER,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,elementary,charter,PK-05,887.0,Active,DALLAS,2202 CALYPSO ST,75212,N,2025
057803111,057803,480003012185,UPLIFT HAMPTON PREP PS,UPLIFT EDUCATION,CHARTER,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,elementary,charter,PK-05,729.0,Active,DALLAS,8915 S HAMPTON RD,75237,N,2025
057807001,057807,480005507849,LIFE SCHOOL OAK CLIFF,LIFE SCHOOL,CHARTER,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,mixed,charter,KG-12,1456.0,Active,DALLAS,4400 S R L THORNTON FRWY,75224,N,2025
057831001,057831,480018408507,GATEWAY CHARTER ACADEMY,GATEWAY CHARTER ACADEMY,CHARTER,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,elementary,charter,EE-05,248.0,Active,DALLAS,6103 UNIVERSITY HILLS BLVD,75241,N,2025
057905005,057905,481623007565,MOISES E MOLINA H S,DALLAS ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,,high,isd,09-12,1736.0,Active,DALLAS,2355 DUNCANVILLE RD,75211-6532,N,2025
057905007,057905,481623001289,THOMAS JEFFERSON H S,DALLAS ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,,high,isd,09-12,1495.0,Active,DALLAS,4001 WALNUT HILL LN,75229-6239,N,2025
057905016,057905,481623001358,SOUTH OAK CLIFF H S,DALLAS ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,,high,isd,09-12,1535.0,Active,DALLAS,3601 S MARSALIS AVE,75216-5905,N,2025
057905036,057905,481623001273,SCHOOL OF HEALTH PROFESSIONS,DALLAS ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,,high,isd,09-12,502.0,Active,DALLAS,1201 E EIGHTH ST,75203-2545,Y,2025
057905046,057905,481623001257,YOUNG MEN'S LEADERSHIP ACADEMY AT FRED F FLORENCE,DALLAS ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,,middle,isd,06-08,379.0,Active,DALLAS,1625 N MASTERS DR,75217-3228,N,2025
057905050,057905,481623001276,ROBERT T HILL MIDDLE,DALLAS ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,,middle,isd,07-08,492.0,Active,DALLAS,505 EASTON RD,75218-1105,N,2025
057905055,057905,481623001347,THOMAS J RUSK MIDDLE,DALLAS ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,,middle,isd,06-08,346.0,Active,DALLAS,2929 INWOOD RD,75235-7517,N,2025
057905068,057905,481623007566,RAUL QUINTANILLA SR MIDDLE STEAM ACADEMY,DALLAS ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,,middle,isd,06-08,486.0,Active,DALLAS,2700 REMOND DR,75211-1631,N,2025
057905076,057905,481623010562,HAROLD WENDELL LANG SR MIDDLE,DALLAS ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,,middle,isd,06-08,646.0,Active,DALLAS,1678 CHENAULT,75228,N,2025
